time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-06-10 00:00:00+00:00,10.0,3.0,,
2024-06-12 00:00:00+00:00,2.0,2.0,35.0,1.0
2024-06-13 00:00:00+00:00,3.0,1.0,1.0,1.0
2024-06-14 00:00:00+00:00,1.0,1.0,1.0,1.0
2024-06-15 00:00:00+00:00,1.0,1.0,1.0,1.0
2024-06-18 00:00:00+00:00,,,15.0,1.0
2024-06-19 00:00:00+00:00,,,1.0,1.0
2024-06-20 00:00:00+00:00,3.0,1.0,10.0,2.0
2024-06-21 00:00:00+00:00,3.0,1.0,22.0,1.0
